,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
FPS1,0.42391854378501664,-0.24977635688895045,-0.3393338055380433,0.19329885406958972,-0.12266359157625228,0.06829680417471899,0.16474361622327052,0.19845064207681776,-0.27687760816426743,0.6652050997401286
FPS2,0.07771558950517973,0.538435211614439,-0.024652277138306592,0.3570229437474064,-0.16098286442199494,0.2377793939031815,-0.10236781042830789,0.5203419389362107,-0.3539439714569024,-0.2949727667946125
FPS3,0.43120801198556696,-0.1032810336254866,-0.39814871697239035,0.27297071680503104,-0.015084588450886486,-0.12258913182642671,0.08834518164317441,0.11244665592294964,0.6233875610491986,-0.3821523944233712
FPS4,-0.06860010352705029,0.5431943404586667,0.25461676245279424,0.2705620171165054,-0.21255434120288913,-0.11891417891288163,0.01252394232910888,-0.11952579806128745,0.48268618845525474,0.5054218846585753
FPS5,0.4244565039759093,-0.026402314321179836,0.30120715956143657,-0.11928848007757176,0.43707467482466156,0.23784038268057967,-0.6335654409263053,0.14672103868599867,0.15391198964023692,0.14128216055030265
FPS6,-0.058339288954261465,0.38260595137971887,-0.31921592189990516,0.0341253746962239,0.7924053669511819,-0.006622109306939274,0.3067881114461282,-0.11511088489330122,-0.06779312722858238,0.08503164229170902
FPS7,0.3282527584701329,0.00018292502080164658,0.5585312870546222,-0.25289426366548556,0.07861047749454828,-0.11261567007677094,0.6166141848927986,0.33485682218800067,0.03361983361170572,-0.06326967657328719
FPS8,0.29174121455456936,0.32159480253450273,-0.18963955973634744,-0.40345358337008075,-0.1245505997798082,-0.7044227770506605,-0.24075274677209343,-0.021069365708889846,-0.20583622923109773,-0.015074246741712137
FPS9,0.4401875290814745,0.03657950579101263,0.25866024197529913,0.3866643273365248,-0.022964524586400973,0.006458005254972604,0.05669055925933698,-0.6734259716643679,-0.3066045207388689,-0.19284887866877837
FPS10,0.23111115226999554,0.3002107993802774,-0.23117676639787801,-0.5438928810648899,-0.26920420219258323,0.586583741177914,0.13230941459883155,-0.2491541983383489,0.10331727881678551,-0.01973585825355894
